A,B,C
th,100272945963,4.675143079280757
he,86697336727,4.042191539289856
in,68595215308,3.19819511672972
er,57754162106,2.6927399876049942
an,55974567611,2.609767867784207
re,52285662239,2.437775709237363
on,49570981965,2.311205989224009
at,41920838452,1.954524382267894
en,41004903554,1.911819676044976
nd,38129777631,1.777769310496386
ti,37856196209,1.7650138032217215
es,37766388079,1.7608265735218225
or,35994097756,1.6781950046726628
te,33973261529,1.5839751888461184
of,33130341561,1.5446747432779104
ed,32937140633,1.5356669099807505
is,31817918249,1.4834840930456177
it,31672532308,1.4767055939264067
al,30662410438,1.4296094981210317
ar,30308513014,1.413109323754963
st,29704461829,1.3849459374101942
to,29360205581,1.3688952748922083
nt,29359771944,1.3688750569261356
ng,26871805511,1.2528756820297928
se,26282488562,1.2253992672385405
ha,26103411208,1.217049933884777
as,24561944198,1.1451803108819754
ou,24531132241,1.143743728899226
io,23542263265,1.097638531679153
le,23382173640,1.0901744854681283
ve,23270129573,1.0849505236170145
co,22384167777,1.043643288457045
me,22360109325,1.042521583053002
de,21565300071,1.0054642596892551
hi,21520845924,1.0033916218935224
ri,20516398905,0.956560111317232
ro,20491179118,0.9553842596304022
ic,19701195496,0.9185519273630203
ne,19504235770,0.9093688432214044
ea,19403941063,0.9046926855517917
ra,19332539912,0.9013636660067441
ce,18367773425,0.8563822273793762
li,17604626629,0.8208011399032868
ch,16854985236,0.7858497306595659
ll,16257360474,0.7579859709660781
be,16249257887,0.7576081945561649
ma,15938689768,0.7431282131589508
si,15509759748,0.7231297061315548
om,15402602484,0.7181335874240311
ur,15303657594,0.7135203638543917
ca,15174413181,0.7074944501129562
el,14952716079,0.697158006297948
ta,14941000711,0.6966117869653013
la,14874551789,0.693513660996921
ns,14350320288,0.669071801327759
di,13899990598,0.648075552405592
fo,13753006196,0.6412225263657858
ho,13672603513,0.6374738178445286
pe,13477683504,0.628385833819147
ec,13457763533,0.6274570816650568
pr,13378480175,0.6237605607451208
no,13099447521,0.6107508942920896
ct,12997849406,0.606013966303702
us,12808517567,0.597186526077552
ac,12625666388,0.5886612412578996
ot,12465822481,0.58120865144517
il,12167821320,0.567314594059234
tr,12006693396,0.5598021380170486
ly,11983948242,0.5587416640448416
nc,11722631112,0.5465579692298134
et,11634161334,0.5424331390837556
ut,11423899818,0.5326298699973043
ss,11421755201,0.5325298790054274
so,11214705934,0.522876378368851
rs,11180732354,0.5212923883315583
un,11121118166,0.5185129261767515
lo,10908830081,0.5086151699886793
wa,10865206430,0.5065812533812939
ge,10861045622,0.5063872591534531
ie,10845731320,0.5056732425029825
wh,10680697684,0.4979786858727361
ee,10647199443,0.49641685812273645
wi,10557401491,0.49223010296366
em,10536054813,0.4912348317770115
ad,10375130449,0.48373186655127787
ol,10305660447,0.4804928852293591
rt,10198055461,0.47547589185430034
po,10189505383,0.4750772515470358
we,10176141608,0.4744541766028991
na,9790855551,0.45649053321307015
ul,9751225781,0.4546428280003665
ni,9564648232,0.44594380426490765
ts,9516029773,0.4436770088702354
mo,9498813191,0.4428742999898574
ow,9318366591,0.4344611266750828
pa,9123652775,0.42538275622759797
im,8959759181,0.417741353111644
mi,8957825538,0.4176511986078301
ai,8922759715,0.4160162836450422
sh,8888705287,0.41442852413669173
